INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
192085446,3114,Drug Violation,INVESTIGATE PROPERTY,D4, ,1,10/22/19 0:00,2019,10,Tuesday,0,Part Two,HEMENWAY ST,42.34587157,-71.08938851,"(0.00000000, 0.00000000)"
192085435,617,Drug Violation,LARCENY THEFT FROM BUILDING,A7,12,0,10/22/19 0:12,2019,10,Tuesday,0,Part Two,BOARDMAN ST,42.31281719,-71.1161289,"(0.00000000, 0.00000000)"
192085359,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,352,0,10/21/19 19:30,2019,10,Monday,19,Part Two,ADAMS ST,42.29182835,-71.11780085,"(0.00000000, 0.00000000)"
192085358,1102,Drug Violation,FRAUD - FALSE PRETENSE / SCHEME,B2,282,0,10/21/19 11:00,2019,10,Monday,11,Part Two,WASHINGTON ST,42.29182835,-71.11780085,"(0.00000000, 0.00000000)"
192085357,423,Drug Violation,ASSAULT - AGGRAVATED,B2,320,0,10/21/19 18:38,2019,10,Monday,18,Part Two,HARTWELL ST,42.29182835,-71.11780085,"(0.00000000, 0.00000000)"
192085356,2670,Drug Violation,HARASSMENT/ CRIMINAL HARASSMENT,B2,316,0,10/21/19 16:59,2019,10,Monday,16,Part Two,HOMESTEAD ST,42.29182835,-71.11780085,"(0.00000000, 0.00000000)"
192085268,3115,Drug Violation,INVESTIGATE PERSON,E18,553,0,10/21/19 15:44,2019,10,Monday,15,Part Two,METROPOLITAN AVE,42.35272948,-71.06256291,"(0.00000000, 0.00000000)"
192085264,3115,Drug Violation,INVESTIGATE PERSON,E5,685,0,10/21/19 15:06,2019,10,Monday,15,Part Two,WASHINGTON ST,42.35272948,-71.06256291,"(0.00000000, 0.00000000)"
192085255,3820,Drug Violation,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,B2,311,0,10/21/19 15:03,2019,10,Monday,15,Part Two,BLUE HILL AVE,42.3462714,-71.08872599,"(0.00000000, 0.00000000)"
192085254,614,Drug Violation,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,465,0,10/20/19 20:00,2019,10,Sunday,20,Part Two,BLUE HILL AVE,42.3462714,-71.08872599,"(0.00000000, 0.00000000)"
192085251,617,Drug Violation,LARCENY THEFT FROM BUILDING,A1,77,0,10/16/19 21:00,2019,10,Wednesday,21,Part Two,NEW SUDBURY ST,42.3462714,-71.08872599,"(0.00000000, 0.00000000)"
192085187,617,Drug Violation,LARCENY THEFT FROM BUILDING,E13,656,0,10/19/19 4:00,2019,10,Saturday,4,Part Two,CALVIN RD,42.32790482,-71.05305583,"(0.00000000, 0.00000000)"
192085058,520,Drug Violation,BURGLARY - RESIDENTIAL,E18,542,0,10/20/19 20:53,2019,10,Sunday,20,Part Two,BUSINESS TER,42.29098335,-71.08912013,"(0.00000000, 0.00000000)"
192085056,614,Drug Violation,LARCENY THEFT FROM MV - NON-ACCESSORY,A7,28,0,10/20/19 18:00,2019,10,Sunday,18,Part Two,PARIS ST,42.38229155,-71.04036424,"(0.00000000, 0.00000000)"
192085046,3115,Drug Violation,INVESTIGATE PERSON,B3,451,0,10/20/19 18:35,2019,10,Sunday,18,Part Two,WHEATLAND AVE,42.32206077,-71.05680459,"(0.00000000, 0.00000000)"
192085045,2101,Drug Violation,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,B2, ,0,10/20/19 18:46,2019,10,Sunday,18,Part Two,DORCHESTER AVE,42.32206077,-71.05680459,"(0.00000000, 0.00000000)"
192085030,3112,Drug Violation,LANDLORD - TENANT,C11,352,0,10/20/19 17:53,2019,10,Sunday,17,Part Two,WESTVILLE ST,42.28816791,-71.08760718,"(0.00000000, 0.00000000)"
192085029,3114,Drug Violation,INVESTIGATE PROPERTY,E18,495,0,10/20/19 17:41,2019,10,Sunday,17,Part Two,LAVAL ST,42.28816791,-71.08760718,"(0.00000000, 0.00000000)"
192085009,2610,Drug Violation,TRESPASSING,A1, ,0,10/20/19 17:10,2019,10,Sunday,17,Part Two,TAMWORTH ST,42.35530377,-71.16135423,"(0.00000000, 0.00000000)"
192084981,3301,Drug Violation,VERBAL DISPUTE,C11,342,0,10/20/19 15:02,2019,10,Sunday,15,Part Two,TOPLIFF ST,42.30971857,-71.10429432,"(0.00000000, 0.00000000)"
192084972,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,300,0,10/20/19 13:38,2019,10,Sunday,13,Part Two,MARCELLA ST,42.3746571,-71.03822833,"(0.00000000, 0.00000000)"
192084947,3006,Drug Violation,SICK/INJURED/MEDICAL - PERSON,B2,265,0,10/20/19 13:02,2019,10,Sunday,13,Part Two,PERRIN ST,42.30971857,-71.10429432,"(0.00000000, 0.00000000)"
192084933,423,Drug Violation,ASSAULT - AGGRAVATED,D4,285,0,10/20/19 11:59,2019,10,Sunday,11,Part Two,TREMONT ST,42.33490901,-71.02665337,"(0.00000000, 0.00000000)"
192084931,3821,Drug Violation,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,D4, ,0,10/20/19 11:21,2019,10,Sunday,11,Part Two,HYDE PARK AVE,42.25621592,-71.12401947,"(0.00000000, 0.00000000)"
192084925,3301,Drug Violation,VERBAL DISPUTE,C11,402,0,10/20/19 11:09,2019,10,Sunday,11,Part Two,BURT ST,42.32866284,-71.08563401,"(0.00000000, 0.00000000)"
192084922,3801,Drug Violation,M/V ACCIDENT - OTHER,A1,61,0,10/19/19 10:55,2019,10,Saturday,10,Part Two,NASHUA ST,42.33280882,-71.06729226,"(0.00000000, 0.00000000)"
192084921,1402,Drug Violation,VANDALISM,C6,230,0,10/19/19 17:30,2019,10,Saturday,17,Part Two,L ST,42.24038127,-71.13734248,"(0.00000000, 0.00000000)"
192084920,619,Drug Violation,LARCENY ALL OTHERS,D4,167,0,10/19/19 2:50,2019,10,Saturday,2,Part Two,HARRISON AVE,42.33168201,-71.06798742,"(0.00000000, 0.00000000)"
192084919,423,Drug Violation,ASSAULT - AGGRAVATED,B2,237,0,10/20/19 10:05,2019,10,Sunday,10,Part Two,HOLDEN ST,42.33168201,-71.06798742,"(0.00000000, 0.00000000)"
192084916,3125,Drug Violation,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),External, ,0,10/20/19 9:15,2019,10,Sunday,9,Part Two,ALBANY ST,42.310434,-71.0613401,"(0.00000000, 0.00000000)"
192084881,3115,Drug Violation,INVESTIGATE PERSON,D14,789,0,10/20/19 2:12,2019,10,Sunday,2,Part Two,CHESTNUT HILL AVE,42.28799812,-71.07788107,"(0.00000000, 0.00000000)"
192084879,2403,Drug Violation,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,D14,794,0,10/20/19 2:17,2019,10,Sunday,2,Part Two,BRIGHTON AVE,42.28799812,-71.07788107,"(0.00000000, 0.00000000)"
192084837,3005,Drug Violation,SICK ASSIST,B2,238,0,10/19/19 22:15,2019,10,Saturday,22,Part Two,GENE ST,,,"(0.00000000, 0.00000000)"
192084799,3114,Drug Violation,INVESTIGATE PROPERTY,A1,126,0,10/18/19 13:49,2019,10,Friday,13,Part Two,ARLINGTON ST,42.35230244,-71.06133346,"(0.00000000, 0.00000000)"
192084787,724,Drug Violation,AUTO THEFT,A7,28,0,10/17/19 21:30,2019,10,Thursday,21,Part Two,PARIS ST,42.32291079,-71.10248934,"(0.00000000, 0.00000000)"
192084786,301,Drug Violation,ROBBERY,E13,906,0,10/19/19 17:57,2019,10,Saturday,17,Part Two,WALDEN ST,42.32291079,-71.10248934,"(0.00000000, 0.00000000)"
192084782,613,Drug Violation,LARCENY SHOPLIFTING,D4,143,0,10/19/19 19:35,2019,10,Saturday,19,Part Two,BOYLSTON ST,42.33367922,-71.09187755,"(0.00000000, 0.00000000)"
192084755,619,Drug Violation,LARCENY ALL OTHERS,C11,355,0,10/19/19 17:36,2019,10,Saturday,17,Part Two,GIBSON ST,42.30393928,-71.07896352,"(0.00000000, 0.00000000)"
192084754,3005,Drug Violation,SICK ASSIST,A1, ,0,10/19/19 16:48,2019,10,Saturday,16,Part Two,MORSE ST,42.30393928,-71.07896352,"(0.00000000, 0.00000000)"
192084741,2647,Drug Violation,THREATS TO DO BODILY HARM,D4,134,0,10/19/19 16:54,2019,10,Saturday,16,Part Two,GORDON AVE,42.25637791,-71.12611439,"(0.00000000, 0.00000000)"
192084727,724,Drug Violation,AUTO THEFT,C11, ,0,10/19/19 15:25,2019,10,Saturday,15,Part Two,HOMESTEAD ST,42.31190459,-71.09049521,"(0.00000000, 0.00000000)"
192084716,613,Drug Violation,LARCENY SHOPLIFTING,A1,70,0,10/19/19 13:00,2019,10,Saturday,13,Part Two,CHARLES ST,42.37357854,-71.03688491,"(0.00000000, 0.00000000)"
192084700,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,116,0,10/18/19 20:00,2019,10,Friday,20,Part Two,TYLER ST,42.32422562,-71.05242608,"(0.00000000, 0.00000000)"
192084693,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,200,0,10/19/19 10:20,2019,10,Saturday,10,Part Two,W BROADWAY,42.32866284,-71.08563401,"(0.00000000, 0.00000000)"
192084680,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,41,0,10/19/19 12:00,2019,10,Saturday,12,Part Two,VINE ST,42.38549647,-71.01681644,"(0.00000000, 0.00000000)"
192084645,3820,Drug Violation,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,E5, ,0,10/18/19 16:55,2019,10,Friday,16,Part Two,CENTRE ST,42.32287413,-71.10155354,"(0.00000000, 0.00000000)"
192084555,3108,Drug Violation,FIRE REPORT,E5,556,0,10/18/19 22:09,2019,10,Friday,22,Part Two,SEYMOUR ST,42.35339757,-71.1362192,"(0.00000000, 0.00000000)"
192084501,3820,Drug Violation,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,C6,186,0,10/18/19 18:32,2019,10,Friday,18,Part Two,MASSACHUSETTS AVE,42.31777605,-71.0619754,"(0.00000000, 0.00000000)"
192084325,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,0,10/18/19 10:20,2019,10,Friday,10,Part Two,GIBSON ST,42.33233682,-71.07129642,"(0.00000000, 0.00000000)"
192084260,2907,Drug Violation,VAL - OPERATING AFTER REV/SUSP.,D4,271,0,10/18/19 0:11,2019,10,Friday,0,Part Two,MASSACHUSETTS AVE,,,"(0.00000000, 0.00000000)"
192084259,1402,Drug Violation,VANDALISM,D4,167,0,10/16/19 8:45,2019,10,Wednesday,8,Part Two,HARRISON AVE,,,"(0.00000000, 0.00000000)"
192084214,1810,Drug Violation,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,200,0,10/16/19 20:00,2019,10,Wednesday,20,Part Two,W BROADWAY,42.31506898,-71.09746579,"(0.00000000, 0.00000000)"
192084164,3502,Drug Violation,MISSING PERSON - LOCATED,B2,282,0,10/13/19 22:00,2019,10,Sunday,22,Part Two,WASHINGTON ST,42.33152148,-71.07085307,"(0.00000000, 0.00000000)"
192084159,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,465,0,10/17/19 17:35,2019,10,Thursday,17,Part Two,BLUE HILL AVE,42.33344418,-71.05337716,"(0.00000000, 0.00000000)"
192084158,3301,Drug Violation,VERBAL DISPUTE,E5,822,0,10/17/19 17:28,2019,10,Thursday,17,Part Two,WILLERS ST,42.33676619,-71.08205122,"(0.00000000, 0.00000000)"
192084088,1402,Drug Violation,VANDALISM,D4,167,0,10/14/19 14:35,2019,10,Monday,14,Part Two,HARRISON AVE,42.31635508,-71.06593853,"(0.00000000, 0.00000000)"
192084084,1107,Drug Violation,FRAUD - IMPERSONATION,B2,282,0,10/18/19 8:46,2019,10,Friday,8,Part Two,WASHINGTON ST,42.3523119,-71.0637051,"(0.00000000, 0.00000000)"
192084083,3301,Drug Violation,VERBAL DISPUTE,B2,181,0,10/17/19 12:45,2019,10,Thursday,12,Part Two,LANGDON ST,42.3523119,-71.0637051,"(0.00000000, 0.00000000)"
192083981,3106,Drug Violation,PROPERTY - ACCIDENTAL DAMAGE,C11,355,0,10/17/19 7:52,2019,10,Thursday,7,Part Two,GIBSON ST,42.33182961,-71.07347274,"(0.00000000, 0.00000000)"
192083979,3807,Drug Violation,M/V ACCIDENT - OTHER CITY VEHICLE,B3, ,0,10/17/19 7:05,2019,10,Thursday,7,Part Two,MELNEA CASS BLVD,42.33182961,-71.07347274,"(0.00000000, 0.00000000)"
192083958,3114,Drug Violation,INVESTIGATE PROPERTY,B2, ,0,10/17/19 1:40,2019,10,Thursday,1,Part Two,K ST,42.32411071,-71.07582894,"(0.00000000, 0.00000000)"
192083893,613,Drug Violation,LARCENY SHOPLIFTING,B3,476,0,10/15/19 17:42,2019,10,Tuesday,17,Part Two,BLUE HILL AVE,,,"(0.00000000, 0.00000000)"
192083890,3201,Drug Violation,PROPERTY - LOST/ MISSING,E18,520,0,10/13/19 2:00,2019,10,Sunday,2,Part Two,HYDE PARK AVE,42.38051931,-71.04020563,"(0.00000000, 0.00000000)"
192083889,3115,Drug Violation,INVESTIGATE PERSON,B3,475,0,10/16/19 18:09,2019,10,Wednesday,18,Part Two,CUMMINS HWY,42.37604046,-71.03580863,"(0.00000000, 0.00000000)"
192083882,3301,Drug Violation,VERBAL DISPUTE,B3,453,0,10/16/19 17:06,2019,10,Wednesday,17,Part Two,HARVARD PARK,42.3287101,-71.05825095,"(0.00000000, 0.00000000)"
192083878,1810,Drug Violation,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,280,0,10/16/19 18:54,2019,10,Wednesday,18,Part Two,WARREN ST,42.3354595,-71.07448891,"(0.00000000, 0.00000000)"
192083876,724,Drug Violation,AUTO THEFT,C11,353,0,10/1/19 11:00,2019,10,Tuesday,11,Part Two,WILLIAM T MORRISSEY BLVD,42.3354595,-71.07448891,"(0.00000000, 0.00000000)"
192083788,801,Drug Violation,ASSAULT - SIMPLE,C11,355,0,10/16/19 13:30,2019,10,Wednesday,13,Part Two,GIBSON ST,42.30829668,-71.06747771,"(0.00000000, 0.00000000)"
192083688,2007,Drug Violation,VIOLATION - RESTRAINING ORDER (NO ARREST),C6,256,0,10/16/19 8:36,2019,10,Wednesday,8,Part Two,MOUNT VERNON ST,42.28020477,-71.0869124,"(0.00000000, 0.00000000)"
192083639,3115,Drug Violation,INVESTIGATE PERSON,C6, ,0,10/15/19 23:42,2019,10,Tuesday,23,Part Two,MONSIGNOR DENNIS F O'CALLAGHAN WAY,,,"(0.00000000, 0.00000000)"
192083637,801,Drug Violation,ASSAULT - SIMPLE,A15,900,0,10/15/19 23:25,2019,10,Tuesday,23,Part Two,O'MEARA CT,42.27858996,-71.08253204,"(0.00000000, 0.00000000)"
192083623,3005,Drug Violation,SICK ASSIST,B3, ,0,10/15/19 22:17,2019,10,Tuesday,22,Part Two,HARRISON AVENUE EXT,42.35314285,-71.06144288,"(0.00000000, 0.00000000)"
192083582,1402,Drug Violation,VANDALISM,B2,282,0,10/11/19 10:30,2019,10,Friday,10,Part Two,WASHINGTON ST,42.34128751,-71.05467933,"(0.00000000, 0.00000000)"
192083361,2905,Drug Violation,VAL - VIOLATION OF AUTO LAW,B2, ,0,10/15/19 8:02,2019,10,Tuesday,8,Part Two,HANCOCK ST,42.310434,-71.0613401,"(0.00000000, 0.00000000)"
192083355,3301,Drug Violation,VERBAL DISPUTE,B3,430,0,10/15/19 8:33,2019,10,Tuesday,8,Part Two,BLUE HILL AVE,42.37226857,-71.03901523,"(0.00000000, 0.00000000)"
192083342,614,Drug Violation,LARCENY THEFT FROM MV - NON-ACCESSORY,C11, ,0,10/14/19 22:45,2019,10,Monday,22,Part Two,DEER ST,42.30971857,-71.10429432,"(0.00000000, 0.00000000)"
192083326,801,Drug Violation,ASSAULT - SIMPLE,B2,258,0,10/15/19 2:17,2019,10,Tuesday,2,Part Two,DUDLEY ST,42.34128751,-71.05467933,"(0.00000000, 0.00000000)"
192083289,3115,Drug Violation,INVESTIGATE PERSON,C11,355,0,10/14/19 21:40,2019,10,Monday,21,Part Two,GIBSON ST,42.349056,-71.1504985,"(0.00000000, 0.00000000)"
192083247,3106,Drug Violation,PROPERTY - ACCIDENTAL DAMAGE,E5,660,0,10/14/19 18:45,2019,10,Monday,18,Part Two,MOREY RD,42.32696802,-71.08051941,"(0.00000000, 0.00000000)"
192083230,3820,Drug Violation,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4,620,0,10/14/19 17:38,2019,10,Monday,17,Part Two,BOYLSTON ST,42.36183857,-71.05976489,"(0.00000000, 0.00000000)"
192083227,2670,Drug Violation,HARASSMENT/ CRIMINAL HARASSMENT,E13,646,0,10/14/19 17:34,2019,10,Monday,17,Part Two,CENTRE ST,42.34128751,-71.05467933,"(0.00000000, 0.00000000)"
192083226,2907,Drug Violation,VAL - OPERATING AFTER REV/SUSP.,B3, ,0,10/14/19 17:36,2019,10,Monday,17,Part Two,W BROADWAY,42.34128751,-71.05467933,"(0.00000000, 0.00000000)"
192083225,619,Drug Violation,LARCENY ALL OTHERS,B2,904,0,10/14/19 17:15,2019,10,Monday,17,Part Two,DEARBORN ST,42.34128751,-71.05467933,"(0.00000000, 0.00000000)"
192083209,2670,Drug Violation,HARASSMENT/ CRIMINAL HARASSMENT,B3,465,0,10/13/19 11:30,2019,10,Sunday,11,Part Two,BLUE HILL AVE,42.28709355,-71.14822128,"(0.00000000, 0.00000000)"
192083207,2670,Drug Violation,HARASSMENT/ CRIMINAL HARASSMENT,E18,501,0,10/11/19 15:45,2019,10,Friday,15,Part Two,HYDE PARK AVE,42.28709355,-71.14822128,"(0.00000000, 0.00000000)"
192083025,3803,Drug Violation,M/V ACCIDENT - PERSONAL INJURY,C11,334,0,10/13/19 22:03,2019,10,Sunday,22,Part Two,BOWDOIN ST,42.35212459,-71.16951571,"(0.00000000, 0.00000000)"
192083017,3301,Drug Violation,VERBAL DISPUTE,B3,466,0,10/13/19 21:11,2019,10,Sunday,21,Part Two,OUTLOOK RD,42.28709355,-71.14822128,"(0.00000000, 0.00000000)"
192083014,2101,Drug Violation,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,A1,77,0,10/13/19 20:53,2019,10,Sunday,20,Part Two,CONGRESS ST,42.28709355,-71.14822128,"(0.00000000, 0.00000000)"
192082961,613,Drug Violation,LARCENY SHOPLIFTING,A1,94,0,10/13/19 17:47,2019,10,Sunday,17,Part Two,FANEUIL HALL MARKETPLACE,42.34128751,-71.05467933,"(0.00000000, 0.00000000)"
192082960,2647,Drug Violation,THREATS TO DO BODILY HARM,B2,291,0,10/13/19 17:32,2019,10,Sunday,17,Part Two,MORLEY ST,42.34128751,-71.05467933,"(0.00000000, 0.00000000)"
192082860,3410,Drug Violation,TOWED MOTOR VEHICLE,C11,335,0,10/13/19 8:47,2019,10,Sunday,8,Part Two,BARRY ST,42.28187213,-71.06538326,"(0.00000000, 0.00000000)"
192082822,423,Drug Violation,ASSAULT - AGGRAVATED,A1,75,1,10/13/19 2:12,2019,10,Sunday,2,Part Two,FRIEND ST,42.37250518,-71.04157889,"(0.00000000, 0.00000000)"
192082821,3803,Drug Violation,M/V ACCIDENT - PERSONAL INJURY,B2, ,0,10/13/19 1:24,2019,10,Sunday,1,Part Two,BORDER ST,42.37250518,-71.04157889,"(0.00000000, 0.00000000)"
192082813,3801,Drug Violation,M/V ACCIDENT - OTHER,E18,480,0,10/13/19 1:35,2019,10,Sunday,1,Part Two,CUMMINS HWY,42.2871482,-71.06493039,"(0.00000000, 0.00000000)"
192082806,2101,Drug Violation,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,D14, ,0,10/13/19 0:40,2019,10,Sunday,0,Part Two,ALLSTON ST,42.33123776,-71.09140736,"(0.00000000, 0.00000000)"
192082805,3301,Drug Violation,VERBAL DISPUTE,E18,493,0,10/13/19 0:38,2019,10,Sunday,0,Part Two,FRAZER ST,42.33123776,-71.09140736,"(0.00000000, 0.00000000)"
192082801,3805,Drug Violation,M/V ACCIDENT - POLICE VEHICLE,B2,586,0,10/13/19 0:53,2019,10,Sunday,0,Part Two,HILLSIDE ST,42.28482577,-71.09137369,"(0.00000000, 0.00000000)"
192082762,724,Drug Violation,AUTO THEFT,D4,136,0,10/12/19 15:00,2019,10,Saturday,15,Part Two,FAIRFIELD ST,42.31082341,-71.07267019,"(0.00000000, 0.00000000)"
192082747,3111,Drug Violation,LICENSE PREMISE VIOLATION,A1,61,0,10/12/19 19:04,2019,10,Saturday,19,Part Two,LEGENDS WAY,42.31363409,-71.06778025,"(0.00000000, 0.00000000)"
192082740,1109,Drug Violation,FRAUD - WIRE,B2,319,0,10/10/19 18:05,2019,10,Thursday,18,Part Two,SONOMA ST,42.23850959,-71.13277923,"(0.00000000, 0.00000000)"
192082722,3115,Drug Violation,INVESTIGATE PERSON,B2,325,0,10/12/19 17:33,2019,10,Saturday,17,Part Two,QUINCY ST,42.35249436,-71.0613928,"(0.00000000, 0.00000000)"
192082717,613,Drug Violation,LARCENY SHOPLIFTING,C11,356,0,10/12/19 16:46,2019,10,Saturday,16,Part Two,DORCHESTER AVE,42.33254716,-71.0721242,"(0.00000000, 0.00000000)"
192082679,3106,Drug Violation,PROPERTY - ACCIDENTAL DAMAGE,B3, ,0,10/11/19 21:30,2019,10,Friday,21,Part Two,E SIXTH ST,42.32866284,-71.08563401,"(0.00000000, 0.00000000)"
192082668,617,Drug Violation,LARCENY THEFT FROM BUILDING,D4,166,0,10/12/19 13:24,2019,10,Saturday,13,Part Two,WASHINGTON ST,42.30678829,-71.08440927,"(0.00000000, 0.00000000)"
192082650,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,0,10/10/19 20:30,2019,10,Thursday,20,Part Two,GIBSON ST,42.29755533,-71.0597091,"(0.00000000, 0.00000000)"
192082605,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7, ,0,10/12/19 9:10,2019,10,Saturday,9,Part Two,CANTERBURY ST,42.27877386,-71.12038066,"(0.00000000, 0.00000000)"
192082570,3301,Drug Violation,VERBAL DISPUTE,B2,325,0,10/12/19 0:42,2019,10,Saturday,0,Part Two,QUINCY ST,42.36183857,-71.05976489,"(0.00000000, 0.00000000)"
192082545,3111,Drug Violation,LICENSE PREMISE VIOLATION,D14,771,0,10/12/19 0:27,2019,10,Saturday,0,Part Two,WASHINGTON ST,,,"(0.00000000, 0.00000000)"
192082534,801,Drug Violation,ASSAULT - SIMPLE,C6,194,0,10/11/19 23:01,2019,10,Friday,23,Part Two,DORCHESTER AVE,42.28709355,-71.14822128,"(0.00000000, 0.00000000)"
192082440,801,Drug Violation,ASSAULT - SIMPLE,D4,628,0,10/10/19 15:22,2019,10,Thursday,15,Part Two,BROOKLINE AVE,42.33123776,-71.09140736,"(0.00000000, 0.00000000)"
192082401,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,778,0,10/10/19 16:00,2019,10,Thursday,16,Part Two,WASHINGTON ST,42.3285766,-71.05527652,"(0.00000000, 0.00000000)"
192082338,2647,Drug Violation,THREATS TO DO BODILY HARM,E5,563,0,10/11/19 11:46,2019,10,Friday,11,Part Two,FLORENCE ST,42.3523119,-71.0637051,"(0.00000000, 0.00000000)"
192082307,801,Drug Violation,ASSAULT - SIMPLE,A7, ,0,10/11/19 9:18,2019,10,Friday,9,Part Two,BORDER STREET,42.310434,-71.0613401,"(0.00000000, 0.00000000)"
192082250,801,Drug Violation,ASSAULT - SIMPLE,A1, ,0,10/11/19 2:44,2019,10,Friday,2,Part Two,WASHINGTON ST,42.32866284,-71.08563401,"(0.00000000, 0.00000000)"
192082225,3301,Drug Violation,VERBAL DISPUTE,B2,296,0,10/10/19 22:42,2019,10,Thursday,22,Part Two,MONTROSE ST,42.30691811,-71.08218381,"(0.00000000, 0.00000000)"
192082222,3005,Drug Violation,SICK ASSIST,B2,282,0,10/10/19 22:48,2019,10,Thursday,22,Part Two,WASHINGTON ST,42.30876959,-71.07460717,"(0.00000000, 0.00000000)"
192082201,2670,Drug Violation,HARASSMENT/ CRIMINAL HARASSMENT,C11,336,0,10/10/19 20:51,2019,10,Thursday,20,Part Two,HAMILTON ST,42.3524587,-71.13762608,"(0.00000000, 0.00000000)"
192082148,801,Drug Violation,ASSAULT - SIMPLE,E5,822,0,10/10/19 11:00,2019,10,Thursday,11,Part Two,CROWN POINT DR,42.34587157,-71.08938851,"(0.00000000, 0.00000000)"
192082146,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,600,0,10/10/19 17:52,2019,10,Thursday,17,Part Two,WARD ST,42.34587157,-71.08938851,"(0.00000000, 0.00000000)"
192082145,1102,Drug Violation,FRAUD - FALSE PRETENSE / SCHEME,A1,77,0,10/10/19 16:00,2019,10,Thursday,16,Part Two,NEW SUDBURY ST,42.34587157,-71.08938851,"(0.00000000, 0.00000000)"
192081993,423,Drug Violation,ASSAULT - AGGRAVATED,A1, ,0,10/10/19 9:42,2019,10,Thursday,9,Part Two,AVENUE DE LAFAYETTE,42.35349534,-71.06136198,"(0.00000000, 0.00000000)"
192081907,735,Drug Violation,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3, ,0,10/9/19 19:19,2019,10,Wednesday,19,Part Two,WASHINGTON ST,42.349056,-71.1504985,"(0.00000000, 0.00000000)"
192081906,801,Drug Violation,ASSAULT - SIMPLE,B2,301,0,10/9/19 20:19,2019,10,Wednesday,20,Part Two,CENTRE ST,42.349056,-71.1504985,"(0.00000000, 0.00000000)"
192081900,2670,Drug Violation,HARASSMENT/ CRIMINAL HARASSMENT,C11,364,0,10/9/19 19:39,2019,10,Wednesday,19,Part Two,DIX ST,42.29755533,-71.0597091,"(0.00000000, 0.00000000)"
192081892,3130,Drug Violation,SEARCH WARRANT,A7,15,0,10/9/19 15:00,2019,10,Wednesday,15,Part Two,SARATOGA ST,42.35602373,-71.06177615,"(0.00000000, 0.00000000)"
192081884,2647,Drug Violation,THREATS TO DO BODILY HARM,B2,920,0,10/9/19 18:05,2019,10,Wednesday,18,Part Two,ELM HILL AVE,42.29755533,-71.0597091,"(0.00000000, 0.00000000)"
192081854,3501,Drug Violation,MISSING PERSON,B2, ,0,10/9/19 17:17,2019,10,Wednesday,17,Part Two,BEECH GLEN ST,42.30645148,-71.07730382,"(0.00000000, 0.00000000)"
192081853,3802,Drug Violation,M/V ACCIDENT - PROPERTY DAMAGE,C11,362,0,10/9/19 17:30,2019,10,Wednesday,17,Part Two,MELVILLE AVE,42.30645148,-71.07730382,"(0.00000000, 0.00000000)"
192081824,520,Drug Violation,BURGLARY - RESIDENTIAL,B2,267,0,10/5/19 14:22,2019,10,Saturday,14,Part Two,FOREST ST,42.28126947,-71.09794759,"(0.00000000, 0.00000000)"
192081823,3807,Drug Violation,M/V ACCIDENT - OTHER CITY VEHICLE,D14, ,0,10/9/19 16:07,2019,10,Wednesday,16,Part Two,ALMONT ST,42.28126947,-71.09794759,"(0.00000000, 0.00000000)"
192081808,1810,Drug Violation,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,337,0,10/9/19 14:15,2019,10,Wednesday,14,Part Two,COLUMBIA RD,42.36183857,-71.05976489,"(0.00000000, 0.00000000)"
